timestamp,rms,kurtosis,peak_value,skewness,crest_factor,mean,std,equipment_id,source_file,status,fault_type,fault_size,position,equipment_type
2025-10-19T10:23:35.606Z,0.06992,2.783135,0.225305,-0.00763,3.222326,0.011095,0.069034,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:35.649Z,0.069483,2.91834,0.2155,-0.125934,3.10148,0.01323,0.068212,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:35.692Z,0.065178,3.015983,0.213414,-0.1508,3.274296,0.013967,0.063664,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:35.734Z,0.064208,2.78874,0.213414,-0.123553,3.323796,0.012292,0.06302,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:35.777Z,0.065399,2.85504,0.221967,-0.120156,3.394058,0.012876,0.064119,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:35.820Z,0.065537,2.955359,0.221967,-0.110788,3.386903,0.011958,0.064437,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:35.862Z,0.065953,2.824353,0.190674,-0.138817,2.891068,0.011879,0.064874,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:35.905Z,0.064532,2.866949,0.179826,-0.191802,2.786634,0.013242,0.063159,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:35.948Z,0.061303,2.97117,0.173359,-0.185807,2.827889,0.013548,0.059788,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:35.990Z,0.063265,2.792174,0.175654,0.032117,2.776465,0.013717,0.061761,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:36.033Z,0.066101,2.648619,0.181287,0.07447,2.742568,0.013021,0.064806,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:36.076Z,0.061369,2.937847,0.20945,-0.13279,3.41295,0.009637,0.060608,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:36.118Z,0.059854,3.074385,0.20945,-0.322768,3.499342,0.011043,0.058827,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:36.161Z,0.06713,2.785564,0.194638,-0.125882,2.89941,0.012715,0.065915,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:36.204Z,0.069695,2.713884,0.194638,-0.109823,2.792706,0.011746,0.068698,EQUIP-001,100.mat,normal,none,,,Bearing
2025-10-19T10:23:36.246Z,0.066263,2.944206,0.204026,-0.137501,3.079034,0.013895,0.06479,EQUIP-001,100.mat,normal,none,,,Bearing
